	EntryID	Headword	Hypernym	Author
423	d2e175389Meyers-1905	Arĭocarpus	Arĭocarpus Lewinii	Hennings
424	d2e175389Meyers-1905	Arĭocarpus	Arĭocarpus retusus	Scheidw
425	d2e175389Meyers-1905	Arĭocarpus	Arĭocarpus prismaticum	Lem
426	d2e175680Meyers-1905	Arisaema	Arisaema atrorubens	
427	d2e175680Meyers-1905	Arisaema	Arisaema ringens	
428	d2e175719Meyers-1905	Arisarum	Arisarum vulgare	Tozz
429	d2e175719Meyers-1905	Arisarum	Arisarum proboscideum	Savi
430	d2e175974Meyers-1905	Aristīda	Aristīda hygrometrica	Brown
431	d2e175974Meyers-1905	Aristīda	Aristīda plumosa	L
432	d2e176218Meyers-1905	Aristolochĭa	Aristolochĭa Clematitis	L
433	d2e176218Meyers-1905	Aristolochĭa	Aristolochĭa serpentaria	L
434	d2e176218Meyers-1905	Aristolochĭa	Aristolochia Sipho	L'Hèrit
435	d2e176218Meyers-1905	Aristolochĭa	Aristolochĭa grandiflora	Swartz
436	d2e176218Meyers-1905	Aristolochĭa	Aristolochĭa Bonplandii	Ten
439	d2e176894Meyers-1905	Aristotelĭa	Aristotelĭa Maqui	L'Herit
440	d2e180491Meyers-1905	Armerĭa	Armerĭa vulgaris	Willd
441	d2e180491Meyers-1905	Armerĭa	Armerĭa maritima	Willd
442	d2e182169Meyers-1905	Arnĭca	Arnĭca montana	L
443	d2e184176Meyers-1905	Arracacĭa	Aracacha xanthorhiza	Baner
444	d2e184176Meyers-1905	Arracacĭa	Arracacĭa esculenta	DC
445	d2e185106Meyers-1905	Arrhenathĕrum	Arrhenathĕrum avenaceum	Beauv
446	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa Dracunculus	L
447	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa cina	Berg
448	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa Abrotanum	L
449	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa vulgaris	L
450	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa arborea	L
451	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa spicata	Jacq
452	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa argentea	Ait
453	d2e188257Meyers-1905	Artemisĭa [1]	Ait Stelleriana	Bess
454	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa chinensis	L
455	d2e188257Meyers-1905	Artemisĭa [1]	Artemisĭa Moxa	Bess
456	d2e190256Meyers-1905	Artocarpus	Artocarpus incisa	L. fil
457	d2e190256Meyers-1905	Artocarpus	Artocarpus integrifolia	Forst
458	d2e190256Meyers-1905	Artocarpus	Artocarpus pubescens	Willd
459	d2e190501Meyers-1905	Artur	Queste del saint Graal	
460	d2e190817Meyers-1905	Arum	Arum maculatum	L
461	d2e190817Meyers-1905	Arum	Arum italicum	L
462	d2e190817Meyers-1905	Arum	Arum dracunculus	L
463	d2e190817Meyers-1905	Arum	Dracunculus vulgaris	Schott
464	d2e190817Meyers-1905	Arum	Arum palaestinum	Boiss
465	d2e190817Meyers-1905	Arum	Arum sanctum	
466	d2e190928Meyers-1905	Aruncus	A silvester	
467	d2e191026Meyers-1905	Arundo	Arundo Donax	
468	d2e192239Meyers-1905	Asa foetĭda	Ferula Assa foetida	L
469	d2e192239Meyers-1905	Asa foetĭda	Ferula Narthex	Boiss
470	d2e192510Meyers-1905	Asărum	Asărum europaeum	L
471	d2e192510Meyers-1905	Asărum	Asărum arifolium	Michx
472	d2e192510Meyers-1905	Asărum	Asărum canadense	L
473	d2e193465Meyers-1905	Äsche	T. vulgaris	Nils
474	d2e194280Meyers-1905	Aeschynomene	Perr	, 
475	d2e194280Meyers-1905	Aeschynomene	Aedemone	
476	d2e194280Meyers-1905	Aeschynomene	Aeschynomene elaphroxylon	Taub
477	d2e194280Meyers-1905	Aeschynomene	Aeschynomene aspera	L
478	d2e194432Meyers-1905	Asclepĭas	Asclepĭas Cornuti	Decsne
479	d2e194432Meyers-1905	Asclepĭas	Asclepĭas syriaca	L
480	d2e194432Meyers-1905	Asclepĭas	Asclepĭas curassavica	L
481	d2e194432Meyers-1905	Asclepĭas	Asclepĭas volubilis	L
482	d2e194432Meyers-1905	Asclepĭas	Asclepĭas incarnata	L
483	d2e194432Meyers-1905	Asclepĭas	Asclepĭas tuberosa	
484	d2e199346Meyers-1905	Asparăgus	Asparăgus officinalis	L
485	d2e199346Meyers-1905	Asparăgus	Asparăgus decumbens	Jacq
486	d2e199346Meyers-1905	Asparăgus	Asparăgus Sprengeri	Rgl
487	d2e199346Meyers-1905	Asparăgus	Asparăgus plumosus	Bak
488	d2e199346Meyers-1905	Asparăgus	Asparăgus acutifolius	L
489	d2e199346Meyers-1905	Asparăgus	Asparăgus tennifolius	Lam
490	d2e199346Meyers-1905	Asparăgus	A.medeoloides	Thunb
491	d2e199721Meyers-1905	Aspergillus	Aspergillus fumigatus	de By
492	d2e199721Meyers-1905	Aspergillus	Aspergillus oryzae	
493	d2e199878Meyers-1905	Asperŭla	Asperŭla odorata	
494	d2e200112Meyers-1905	Asphodĕlus	Asphodĕlus luteus	L
495	d2e200112Meyers-1905	Asphodĕlus	Asphodĕlus albus	Willd
496	d2e200112Meyers-1905	Asphodĕlus	Asphodĕlus ramosus	L
498	d2e200112Meyers-1905	Asphodĕlus	Asphodĕlus neglectus	Schult
499	d2e200112Meyers-1905	Asphodĕlus	Lilium	
500	d2e200112Meyers-1905	Asphodĕlus	Martagon	L
501	d2e200232Meyers-1905	Aspidistra	Aspidistra elatior	
502	d2e200265Meyers-1905	Aspidĭum	Aspidĭum Filix mas	Swartz
505	d2e200330Meyers-1905	Aspidospérma	Aspidospérma Quebracho	Schlecht
506	d2e200697Meyers-1905	Asplenĭum	Asplenĭum trichomanes	L
507	d2e200697Meyers-1905	Asplenĭum	Asplenĭum ruta muraria	L
508	d2e200697Meyers-1905	Asplenĭum	Asplenĭum Filix femina	Bernh
509	d2e200697Meyers-1905	Asplenĭum	Asplenĭum neglectum	Krst
510	d2e200697Meyers-1905	Asplenĭum	Asplenĭum nidus	Krst
511	d2e201461Meyers-1905	Asseln [1]	Asellus aquaticus	L
512	d2e201461Meyers-1905	Asseln [1]	Oniscus scaber	Latr
513	d2e201461Meyers-1905	Asseln [1]	Armadillo officinalis	
514	d2e203665Meyers-1905	Aster [1]	Aster alpinus	L
515	d2e203665Meyers-1905	Aster [1]	Aster Tripolium	L
518	d2e204610Meyers-1905	Astilbe	A.japonica	Mig
519	d2e205264Meyers-1905	Astrantĭa	Astrantĭa major	L
520	d2e205264Meyers-1905	Astrantĭa	Astrantĭa minor	L
521	d2e205341Meyers-1905	Astrilds	Habropyga cinerea	Cab
522	d2e205341Meyers-1905	Astrilds	H. Astrild	Cab
523	d2e205341Meyers-1905	Astrilds	Pytelia minima	Vieill
524	d2e205341Meyers-1905	Astrilds	P. amandava	L
525	d2e205341Meyers-1905	Astrilds	Uraeginthus phoenicotis	Swns
526	d2e205341Meyers-1905	Astrilds	Zonaeginthus castanotis	
527	d2e209162Meyers-1905	Athamanta	Athamanta Matthioli	Wulf
528	d2e209162Meyers-1905	Athamanta	Athamanta macedonica	Spr
529	d2e211682Meyers-1905	Aethūsa	Aethūsa cynapium	L
530	d2e215809Meyers-1905	Atrĭplex	Atrĭplex Halimus	L
531	d2e215809Meyers-1905	Atrĭplex	Atrĭplex hortense	L
532	d2e215809Meyers-1905	Atrĭplex	Atrĭplex litorale	L
533	d2e215913Meyers-1905	Atrŏpa	Atrŏpa Belladonna	L
536	d2e216430Meyers-1905	Attalĕa	Attalĕa funifera	Mart
537	d2e216430Meyers-1905	Attalĕa	Attalĕa Cohune	Mart
538	d2e219089Meyers-1905	Aubrietĭa	Adans deltoidea	DC
541	d2e238332Meyers-1905	Austern	Gryphaea	Lam
542	d2e238332Meyers-1905	Austern	Ostrëidae arborea	Chem
543	d2e238332Meyers-1905	Austern	Ostrëidae adriatica	Lam
544	d2e238673Meyers-1905	Austerndieb	Haematopus ostrealegus	L
545	d2e244585Meyers-1905	Avēna	Avēna pubescens	L
546	d2e244585Meyers-1905	Avēna	Avēna pratensis	L
547	d2e245085Meyers-1905	Averrhoa	Averrhoa Bilimbi	L
548	d2e245660Meyers-1905	Avicennĭa	Avicennĭa tomentosa	Jacq
549	d2e245660Meyers-1905	Avicennĭa	Avicennĭa nitida	Jacq
550	d2e245660Meyers-1905	Avicennĭa	Avicennĭa officinalis	L
551	d2e247528Meyers-1905	Axolotl	Siredon pisciformis	Shaw
552	d2e247528Meyers-1905	Axolotl	Axolotl opacum	Grav
553	d2e247528Meyers-1905	Axolotl	Axolotl punctatum	L
554	d2e248341Meyers-1905	Azalĕa	Azalĕa indica	L
555	d2e248341Meyers-1905	Azalĕa	Azalĕa pontica	L
556	d2e248341Meyers-1905	Azalĕa	Azalĕa sinensis	Sweet
557	d2e248341Meyers-1905	Azalĕa	Azalĕa mollis	
558	d2e248341Meyers-1905	Azalĕa	Azalĕa calendulacea	Mchx
559	d2e248341Meyers-1905	Azalĕa	Azalĕa nudiflora	
560	d2e248341Meyers-1905	Azalĕa	Azalĕa viscosa	L
563	d2e253289Meyers-1905	Bachstelze	Motacillidae alba	L
564	d2e253289Meyers-1905	Bachstelze	Motacilla boarula	L
565	d2e253289Meyers-1905	Bachstelze	Budytes flavus	L
566	d2e253595Meyers-1905	Bacillus	Bacterium	Duj
567	d2e255206Meyers-1905	Bactris	Bactris minor	Jacq
568	d2e255206Meyers-1905	Bactris	Bactris speciosa	Hart
569	d2e264903Meyers-1905	Balanophorazeen	Cynomorium coccineum	L
570	d2e269233Meyers-1905	Ballóta	Ballóta nigra	L
571	d2e271755Meyers-1905	Bambūsa	Bambūsa (Chusquea) aristata	Mart
572	d2e271755Meyers-1905	Bambūsa	Bambūsa Metake	Sieb
573	d2e271755Meyers-1905	Bambūsa	Bambūsa Brandisii	Shuttl
574	d2e271755Meyers-1905	Bambūsa	Bambūsa arundinacea	Willd
575	d2e271755Meyers-1905	Bambūsa	Bambūsa vulgaris	Wendl
576	d2e271755Meyers-1905	Bambūsa	Bambūsa Fortunei	
577	d2e271755Meyers-1905	Bambūsa	Bambūsa aurea	hort
580	d2e271755Meyers-1905	Bambūsa	B Taguara	Mart
581	d2e273515Meyers-1905	Bandfische	Cepola	L
582	d2e273515Meyers-1905	Bandfische	Cepolidae rubescens	L
583	d2e273515Meyers-1905	Bandfische	Trachypteridae	Gthr
584	d2e273515Meyers-1905	Bandfische	Regalecus	Brünn
585	d2e274450Meyers-1905	Bandwürmer	Taenia solium	L
586	d2e274450Meyers-1905	Bandwürmer	Taenia saginata	Götze
587	d2e274450Meyers-1905	Bandwürmer	mediocanellata	Küch
588	d2e274450Meyers-1905	Bandwürmer	Bothriocephalus latus	Brems
589	d2e277616Meyers-1905	Banksĭa	Banksĭa ericaefolia	L. fil
590	d2e277616Meyers-1905	Banksĭa	Banksĭa australis	
591	d2e277616Meyers-1905	Banksĭa	Banksĭa speciosa	R. Br
592	d2e278891Meyers-1905	Baphĭa	Baphĭa nitida	Afz
593	d2e278891Meyers-1905	Baphĭa	Baphĭa pubescens	Hook. fil
594	d2e278961Meyers-1905	Baptisĭa	Baptisĭa tinctoria	R. Br
595	d2e278961Meyers-1905	Baptisĭa	Baptisĭa australis	R. Br
596	d2e279503Meyers-1905	Bär [2]	Ursinae arctos	L
599	d2e279503Meyers-1905	Bär [2]	Ursus americanus	Pall
602	d2e279503Meyers-1905	Bär [2]	Ursus torquatus	Wagn
603	d2e279503Meyers-1905	Bär [2]	Melursus labiatus	Desm
604	d2e279503Meyers-1905	Bär [2]	Ursus maritimus	L
605	d2e279503Meyers-1905	Bär [2]	Ursus spelaeus	Rosenm
606	d2e279503Meyers-1905	Bär [2]	Ailurus fulgens	F. Cuv
607	d2e279503Meyers-1905	Bär [2]	Arctitis Binturong	Temm
608	d2e279755Meyers-1905	Bär [3]	Arctia Caja	L
609	d2e279755Meyers-1905	Bär [3]	A. villica	L
610	d2e279755Meyers-1905	Bär [3]	A. purpurea	L
611	d2e279755Meyers-1905	Bär [3]	A. Hebe	L
612	d2e279755Meyers-1905	Bär [3]	Callimorpha matronula	L
613	d2e281366Meyers-1905	Barbe [2]	Barbus fluviatilis	Agass
615	d2e287854Meyers-1905	Barosma	Barosma crenulatum	Hook
617	d2e289802Meyers-1905	Barsch	Percidae fluviatilis	L
620	d2e294137Meyers-1905	Baschkiren	Major	Hungaria
621	d2e294929Meyers-1905	Basella alba	Basella alba tuberosa	H
622	d2e295784Meyers-1905	Basilisk	Basiliscus mitratus	Daud
623	d2e301549Meyers-1905	Batschan	Cynocephalus niger	Desm
625	d2e304045Meyers-1905	Bauditz	Juli	Skovriddergaard
626	d2e306449Meyers-1905	Bauhinĭa	Bauhinĭa Lingua	DC
627	d2e306449Meyers-1905	Bauhinĭa	Bauhinĭa scandens	L
628	d2e306449Meyers-1905	Bauhinĭa	Bauhinĭa Vahlii	DC
629	d2e306449Meyers-1905	Bauhinĭa	Bauhinĭa variegata	L
630	d2e306449Meyers-1905	Bauhinĭa	Bauhinĭa tomentosa	L
631	d2e306449Meyers-1905	Bauhinĭa	Bauhinĭa acuminata	L
632	d2e307657Meyers-1905	Baumelster	Dendrocitta rufa	Hartl
633	d2e308496Meyers-1905	Baumläufer	Certhia familiaris	L
634	d2e308573Meyers-1905	Baumliest	Halcyon giganteus	Latr
635	d2e309133Meyers-1905	Baumsegler	Dendrochelidon longipennis	
636	d2e309343Meyers-1905	Baumwachtel	Ortyx virginianus	
637	d2e309343Meyers-1905	Baumwachtel	Lophortyx californianus	Bp
638	d2e309343Meyers-1905	Baumwachtel	L Gambeli	
639	d2e309467Meyers-1905	Baumwolle	Gossypium	L
640	d2e309467Meyers-1905	Baumwolle	Gossypium barbadense	L
641	d2e309467Meyers-1905	Baumwolle	Gossypium peruvianum	Cav
642	d2e309467Meyers-1905	Baumwolle	Gossypium hirsutum	L
643	d2e309467Meyers-1905	Baumwolle	Gossypium herbaceum	L
644	d2e309467Meyers-1905	Baumwolle	Gossypium arboreum	L
645	d2e311796Meyers-1905	Baxter [2]	National income of the	United kingdom
646	d2e314831Meyers-1905	Bdellĭum	Commiphora Roxburghii	Engl
647	d2e314831Meyers-1905	Bdellĭum	C. africana	Engl
648	d2e323133Meyers-1905	Beggiatōa	Beggiatōa alba	Trev
649	d2e323133Meyers-1905	Beggiatōa	Beggiatōa mirabilis	
650	d2e323133Meyers-1905	Beggiatōa	Beggiatōa rosea persicina	Zopf
651	d2e323628Meyers-1905	Begonĭa	Begonĭa Rex	Putz
652	d2e323628Meyers-1905	Begonĭa	Begonĭa boliviensis	A. DC
653	d2e323628Meyers-1905	Begonĭa	Begonĭa Veitchi	Hook al
654	d2e323628Meyers-1905	Begonĭa	Davisii	Hook pl
655	d2e323628Meyers-1905	Begonĭa	Begonĭa Froebelii	A. DC
656	d2e323628Meyers-1905	Begonĭa	Begonĭa maculata Raddi	Rgl
656	d2e323628Meyers-1905	Begonĭa	Begonĭa maculata Raddi	Rgl
656	d2e323628Meyers-1905	Begonĭa	Schmidtiana	Rgl
656	d2e323628Meyers-1905	Begonĭa	Schmidtiana	Rgl
659	d2e323628Meyers-1905	Begonĭa	weltoniensis	hort
660	d2e324773Meyers-1905	Behenöl	Moringa oleifera	Lam
661	d2e327990Meyers-1905	Bekker	Historie van mejuffrouw Sara	Burgerhart
662	d2e333615Meyers-1905	Bellis	Bellis perennis	L
663	d2e338180Meyers-1905	Beninkasa	Beninkasa hispida	Cogn
664	d2e342202Meyers-1905	Berbĕris	Berbĕris vulgaris	L
665	d2e342202Meyers-1905	Berbĕris	Berbĕris Aquifolium	Pursh
666	d2e342202Meyers-1905	Berbĕris	Mahonia Aquifolium	Nutt
667	d2e344128Meyers-1905	Bergamottöl	Citrus Bergamia	
668	d2e349615Meyers-1905	Bergziege	Aplocerus montanus	Blainv
669	d2e354641Meyers-1905	Bernstein [1]	Picea succinifera	Conw
670	d2e355207Meyers-1905	Bernsteinschnecke	Succinea	
675	d2e356744Meyers-1905	Berthollētia	Bonpl nobilis	Miers
676	d2e363612Meyers-1905	Beta	Beta vulgaris	L
678	d2e363612Meyers-1905	Beta	Beta vulgaris var. Rapa	Dumort
679	d2e366528Meyers-1905	Betulazeen	Betula nana	L
680	d2e367782Meyers-1905	Beutelbilch	Phascologale penicillata	Temm
681	d2e367782Meyers-1905	Beutelbilch	Phascologale minutissima	Gould
682	d2e367821Meyers-1905	Beuteldachs	Peramelidae nasuta	Geoffr
683	d2e368030Meyers-1905	Beutelmarder [2]	Dasyuridae viverrinus	Geoffr
684	d2e368030Meyers-1905	Beutelmarder [2]	Sarcophilus	F. Cur
685	d2e368030Meyers-1905	Beutelmarder [2]	L. ursinus	Geoffr
686	d2e368224Meyers-1905	Beutelratte	Didelphys virginiana	Shaw
687	d2e368224Meyers-1905	Beutelratte	Didelphys dorsigera	L
688	d2e368349Meyers-1905	Beutelstar	Cassicus cristatus	Daud
689	d2e374924Meyers-1905	Biber [1]	Castor Fiber	L
691	d2e377553Meyers-1905	Bidens	Bidens cernuus	L
692	d2e378713Meyers-1905	Bienen	Apidae mellifica	L
693	d2e378713Meyers-1905	Bienen	Apidae ligustica	Spin
694	d2e378713Meyers-1905	Bienen	Apidae fasciata	Latr
695	d2e378713Meyers-1905	Bienen	Apidae sinensis	Sm
696	d2e378713Meyers-1905	Bienen	Apidae Adansonii	Latr
697	d2e378713Meyers-1905	Bienen	Apidae unicolor	Latr
698	d2e378713Meyers-1905	Bienen	Apidae indica	Fabr
699	d2e378713Meyers-1905	Bienen	Apidae mellifica	L
700	d2e378713Meyers-1905	Bienen	Apidae mellifica var. lehzeni	Buttel
701	d2e378713Meyers-1905	Bienen	Apidae mellifica var. carniolica	Buttel
702	d2e378713Meyers-1905	Bienen	Trigona	Jur
703	d2e378713Meyers-1905	Bienen	Melipona	Illig
704	d2e379120Meyers-1905	Bienenameise	Mutilla europaea	L
705	d2e379235Meyers-1905	Bienenfresser	Merops apiaster	
706	d2e379288Meyers-1905	Bienenkäfer	Sitaris muralis	Forst
707	d2e382029Meyers-1905	Bignonĭa	Bignonĭa capreolata	L
708	d2e382029Meyers-1905	Bignonĭa	Bignonĭa Chica	H. B
710	d2e390142Meyers-1905	Birke	Betula nigra	L
711	d2e390142Meyers-1905	Birke	Betula lenta	L
712	d2e390142Meyers-1905	Birke	Betula utilis	Don
713	d2e390142Meyers-1905	Birke	papyracea	Ait
714	d2e390142Meyers-1905	Birke	Betula pubescens	Ehrh
715	d2e390142Meyers-1905	Birke	Betula alba	L
716	d2e390142Meyers-1905	Birke	Betula odorata	
717	d2e390142Meyers-1905	Birke	Roth	, 
718	d2e390142Meyers-1905	Birke	Betula verrucosa	Ehrh
719	d2e390142Meyers-1905	Birke	Betula fruticosa	Pall
720	d2e390142Meyers-1905	Birke	Betula nana	L
721	d2e390764Meyers-1905	Birkhuhn	Tetrao medius	Leist
722	d2e391303Meyers-1905	Birnbaum [1]	Pirophŏrum Achras	Gärtn
723	d2e391303Meyers-1905	Birnbaum [1]	Pirophŏrum elaeagnifolia	Pall
724	d2e391303Meyers-1905	Birnbaum [1]	Pall persica	Pers
725	d2e391303Meyers-1905	Birnbaum [1]	Pers cordata	Desv
728	d2e396417Meyers-1905	Bitterling	Rhodeus amarus	Bl
729	d2e397021Meyers-1905	Bixa	Bixa Orellana	L
730	d2e401142Meyers-1905	Blasenfüßer	Thrips cerealium	Halid
731	d2e401142Meyers-1905	Blasenfüßer	Heliothrips haemorrhoidalis	
732	d2e401142Meyers-1905	Blasenfüßer	H. Dracaenae	Halid
733	d2e401483Meyers-1905	Blasenrobbe	Cystophora cristata	Nilss
734	d2e401483Meyers-1905	Blasenrobbe	Cystophora proboscidea	Nilss
735	d2e403176Meyers-1905	Blätterfische	Ophiocephalus punctatus	Bl
736	d2e403508Meyers-1905	Blattflecke	Sphaceloma ampelinum	De Bary
739	d2e403508Meyers-1905	Blattflecke	Phoma	Fr
740	d2e403508Meyers-1905	Blattflecke	Sphaerella	Fr
741	d2e403508Meyers-1905	Blattflecke	Stigmatea	Fr
742	d2e403594Meyers-1905	Blattflöhe	Psylla piri	L
743	d2e403594Meyers-1905	Blattflöhe	Psyllidae mali	Först
744	d2e403911Meyers-1905	Blattkäfer	Agelastica alni	Fab
745	d2e403911Meyers-1905	Blattkäfer	Eumolpus vitis	L
746	d2e403911Meyers-1905	Blattkäfer	Crioceris merdigera	L
747	d2e403911Meyers-1905	Blattkäfer	Chrysomelidae asparagi	L
748	d2e403911Meyers-1905	Blattkäfer	Chrysomelidae duodecimpunctata	L
749	d2e404089Meyers-1905	Blattläuse	Aphis	L
750	d2e404089Meyers-1905	Blattläuse	Schizoneura lanigera	Hausm
751	d2e404089Meyers-1905	Blattläuse	Chermes abietis	L
752	d2e404718Meyers-1905	Blattroller	Rhynchites betuleti	F
753	d2e404718Meyers-1905	Blattroller	Rhynchites conicus	Ill
754	d2e404718Meyers-1905	Blattroller	Rhynchites cupreus	L
755	d2e404718Meyers-1905	Blattroller	Rhynchites Bacchus	L
756	d2e404718Meyers-1905	Blattroller	Rhynchites auratus	Scop
757	d2e404911Meyers-1905	Blattschorf	Phyllachora	Nitschke
758	d2e404911Meyers-1905	Blattschorf	Rhytisma acerinum	Fr
759	d2e405272Meyers-1905	Blattwespen	Lyda	Fab
760	d2e405272Meyers-1905	Blattwespen	L. piri	
761	d2e405272Meyers-1905	Blattwespen	Lyda campestris	L
762	d2e405272Meyers-1905	Blattwespen	L pratensis	F
763	d2e405272Meyers-1905	Blattwespen	L. erythrocephala	L
764	d2e405272Meyers-1905	Blattwespen	Lophyrus pini	L
765	d2e405272Meyers-1905	Blattwespen	Hylotoma rosae	L
766	d2e405272Meyers-1905	Blattwespen	Athalia spinarum	Fabr
767	d2e405272Meyers-1905	Blattwespen	Eriocampa adumbrata	Klug
768	d2e405272Meyers-1905	Blattwespen	Hoplocampa fulvicornis	Klug
769	d2e405272Meyers-1905	Blattwespen	Ardis bipunctata	Klug
770	d2e405272Meyers-1905	Blattwespen	Cimbex betulae	Lad
771	d2e406416Meyers-1905	Blauhäher	Corvidae cristata	Strickl
772	d2e406515Meyers-1905	Blaukehlchen	E. cyaneculus	Wolf
773	d2e406515Meyers-1905	Blaukehlchen	Cyanecula Wolfi	Br
774	d2e406907Meyers-1905	Blaurabe	Corvidae pileatus	
775	d2e407269Meyers-1905	Blauwerden der Milch	Bacillus cyanogenes	Flügge
776	d2e411701Meyers-1905	Blicke	Blicca Bjoerkna	L
777	d2e411912Meyers-1905	Blighĭa	Blighĭa sapida	Koen
778	d2e412645Meyers-1905	Blindschleiche	Anguis fragilis	L
779	d2e415599Meyers-1905	Blumēa	Blumēa balsamifera	
780	d2e415599Meyers-1905	Blumēa	Blumēa lacera	DC
781	d2e415987Meyers-1905	Blumenfliege	Anthomyia antiqua	Meig
782	d2e415987Meyers-1905	Blumenfliege	Anthomyia brassicae	
783	d2e415987Meyers-1905	Blumenfliege	Anthomyia canicularis	L
784	d2e418923Meyers-1905	Blutendes Brot	Bacillus prodigiosus	Flügge
785	d2e419584Meyers-1905	Blütenstecher	Anthonomus pomorum	L
786	d2e419584Meyers-1905	Blütenstecher	Anthonomus piri	Schönh
787	d2e419584Meyers-1905	Blütenstecher	Anthonomus rubi	Hbst
788	d2e421296Meyers-1905	Blutschnee	Sphaerella nivalis	Sommerfeld
789	d2e424471Meyers-1905	Bockkäfer	Prionidae	
790	d2e424471Meyers-1905	Bockkäfer	Prionus coriarius	L
791	d2e424471Meyers-1905	Bockkäfer	Hypocephalus armatus	Desm
792	d2e424471Meyers-1905	Bockkäfer	Macrodontia cervicornis	L
793	d2e424471Meyers-1905	Bockkäfer	Cerambycidae	
794	d2e424471Meyers-1905	Bockkäfer	Cerambyx Heros	L
795	d2e424471Meyers-1905	Bockkäfer	Aromia moschata	L
796	d2e424471Meyers-1905	Bockkäfer	Rosalia alpina	L
797	d2e424471Meyers-1905	Bockkäfer	Purpuricenus Koehleri	Fabr
798	d2e424471Meyers-1905	Bockkäfer	Clytus arietis	L
799	d2e424471Meyers-1905	Bockkäfer	Molorchus major	L
800	d2e424471Meyers-1905	Bockkäfer	Lamiariae	
801	d2e424471Meyers-1905	Bockkäfer	Astynomus aedilis	L
802	d2e424471Meyers-1905	Bockkäfer	Saperda carcharias	L
803	d2e424471Meyers-1905	Bockkäfer	S. populnea	L
804	d2e424471Meyers-1905	Bockkäfer	Astathes splendida	F
805	d2e424471Meyers-1905	Bockkäfer	Strangalia armata	Herb
806	d2e424471Meyers-1905	Bockkäfer	Pachyta quadrimaculata	L
807	d2e424471Meyers-1905	Bockkäfer	Rhagium inquisitor	Fabr
808	d2e426162Meyers-1905	Bodenbesitzreform	Der	Grond van Allen
809	d2e431777Meyers-1905	Boehmerĭa	Boehmerĭa frutescens	Bl
810	d2e431777Meyers-1905	Boehmerĭa	Pooah fibre	Hassk
810	d2e431777Meyers-1905	Boehmerĭa	Pooah fibre	Hassk
810	d2e431777Meyers-1905	Boehmerĭa	Boehmerĭa sanguinea	Hassk
810	d2e431777Meyers-1905	Boehmerĭa	Boehmerĭa sanguinea	Hassk
811	d2e431777Meyers-1905	Boehmerĭa	Boehmerĭa nivea	
812	d2e432537Meyers-1905	Bohne [1]	Nelumbium speciosum	Willd
813	d2e433489Meyers-1905	Bohrfliege	Trypeta (Spilographa) cerasi	L
814	d2e433489Meyers-1905	Bohrfliege	Trypeta (Platyparea) poecilloptera	Lw
815	d2e433489Meyers-1905	Bohrfliege	Ortalis fulminans	
816	d2e435953Meyers-1905	Bolētus [2]	Bolētus castaneus	Bull
817	d2e435953Meyers-1905	Bolētus [2]	Bull scaber	Fr
818	d2e435953Meyers-1905	Bolētus [2]	Bolētus luridus	Schäff
819	d2e435953Meyers-1905	Bolētus [2]	Bolētus Satanas	Lenz
820	d2e435953Meyers-1905	Bolētus [2]	Bolētus pachypus	Fr
821	d2e435953Meyers-1905	Bolētus [2]	Bull edulis	Bull
822	d2e435953Meyers-1905	Bolētus [2]	Bolētus variegatus	Sw
823	d2e435953Meyers-1905	Bolētus [2]	Bolētus tomentosus	L
824	d2e435953Meyers-1905	Bolētus [2]	Bolētus badius	Fr
825	d2e435953Meyers-1905	Bolētus [2]	Bolētus bovinus	L
826	d2e435953Meyers-1905	Bolētus [2]	Bolētus granulatus	L
827	d2e435953Meyers-1905	Bolētus [2]	Bolētus lutens	L
828	d2e438646Meyers-1905	Bombardierkäfer	Brachinus crepitans	L
829	d2e438646Meyers-1905	Bombardierkäfer	Pheropsophus	Sol
830	d2e438752Meyers-1905	Bombax	Bombax Ceiba	L
831	d2e438752Meyers-1905	Bombax	Bombax malabaricum	DC
832	d2e438752Meyers-1905	Bombax	Bombax insigne	
835	d2e445207Meyers-1905	Borassus	Borassus flabelliformis	L
837	d2e448055Meyers-1905	Borkenkäfer	Hylesinus piniperda	L
838	d2e448055Meyers-1905	Borkenkäfer	Hrtg minor	Hrtg
839	d2e448055Meyers-1905	Borkenkäfer	Bostrichus typographus	L
840	d2e448055Meyers-1905	Borkenkäfer	Eccoptogaster scolytus	Hbst
841	d2e448055Meyers-1905	Borkenkäfer	Scolytus pruni	Rtzb
842	d2e448205Meyers-1905	Borkensucht der Aprikosen	Phyllosticta vindobonensis	Thüm
