	EntryID	Headword	terms	origin
52975	d2e3662914Meyers-1905	Tölpel [1]	['dörper, dörpel, törpel']	['aus dem mittelhochd']
53009	d2e3665491Meyers-1905	Tōnisch	['tonus']	['v. lat']
53051	d2e3668370Meyers-1905	Topp	['top']	['v. engl']
53068	d2e3670035Meyers-1905	Tornister	['tánistron', 'Sac']	['v. mittelgriech']
53094	d2e3671645Meyers-1905	Tort	['tortum']	['v. lat']
53095	d2e3671662Meyers-1905	Torte	['tortus']	['v. lat']
53200	d2e3677110Meyers-1905	Trabanten	[]	['v. deutschen']
53216	d2e3677925Meyers-1905	Trachyt	['trachys']	['vom griech']
53267	d2e3680411Meyers-1905	Trampdampfer	['tramp']	['v. engl']
53382	d2e3685892Meyers-1905	Travankor	[]	['aus dem indischen']
53393	d2e3686192Meyers-1905	Travestīe	['travestire']	['v. ital']
53671	d2e3702344Meyers-1905	Trokar	[]	['v. franz']
53675	d2e3702734Meyers-1905	Trombe	['tromba']	['v. ital']
53721	d2e3706079Meyers-1905	Truchseß	['truhtsâzo', 'truht', 'Dapifer', 'Écuyer de cuisine, Écuyer tranchant']	['v. altd']
53724	d2e3706196Meyers-1905	Trucksystem	['truck']	['v. engl']
53937	d2e3719171Meyers-1905	Tunnel	['tonnel']	['v. altfranz']
53973	d2e3723355Meyers-1905	Turkmēnen	[]	['vom Eigennamen']
54159	d2e3735412Meyers-1905	Uhr	['hora']	['v. lat']
54177	d2e3736437Meyers-1905	Ukás	['ukasátj']	['v. russ']
54220	d2e3738993Meyers-1905	Ulzeration	['ulcus']	['v. lat']
54256	d2e3741642Meyers-1905	Undīnen	['unda']	['v. lat']
54354	d2e3752281Meyers-1905	Unziālbuchstaben	['uncia']	['v. lat']
54389	d2e3754426Meyers-1905	Urbar	['erbëran']	['v. althochd']
54394	d2e3754798Meyers-1905	Urēa	['urein']	['v. griech']
54479	d2e3760269Meyers-1905	Usk [1]	['Visge']	['v. kelt']
54481	d2e3760301Meyers-1905	Uskōken	['uskočiti']	['v. serb']
54520	d2e3761894Meyers-1905	Utilisieren	['utilis']	['v. lat']
54714	d2e3772017Meyers-1905	Vasen	['vas']	['v. lat']
