	EntryID	headword	compound
1277	d2e161404Herder-1854	Drama	Volksdrama
1278	d2e162032Herder-1854	Drewenz	Drewenzsee
1279	d2e162206Herder-1854	Drömling	Drömlinger
1280	d2e162580Herder-1854	Drost	Landdrosteien
1281	d2e162941Herder-1854	Dryaden	Hamadryaden
1282	d2e163165Herder-1854	Dual	Dualis
1283	d2e163612Herder-1854	Ductil	Ductilität
1284	d2e164504Herder-1854	Dult	Indult
1285	d2e165616Herder-1854	Durchlaucht	Durchlauchtigst
1286	d2e165824Herder-1854	Durst	Verdurstens
1287	d2e166189Herder-1854	Dynamik	Hydrodynamik
1288	d2e166243Herder-1854	Dys	Dysämorrhöe
1289	d2e166243Herder-1854	Dys	Dyslochie
1290	d2e166243Herder-1854	Dys	Dysmenorrhöe
1291	d2e166243Herder-1854	Dys	Dyskenesie
1292	d2e166243Herder-1854	Dys	Dyspepsie
1293	d2e166243Herder-1854	Dys	Dysenterie
1294	d2e166243Herder-1854	Dys	Dysämie
1295	d2e166243Herder-1854	Dys	Dysästhesie
